id,pricepernight,stars,reviewCount,Superhost,minNights,maxNights,numberOfGuests,rooms,beds,baths,locationlat,locationlng,Children,Events,Infants,Pets,Smoking,Air_conditioning,BBQ_grill,Baby_bath,Baby_monitor,Baby_safety_gates,Babysitter_recommendations,Backyard,Baking_sheet,Barbecue_utensils,Bathroom_essentials,Bathtub,Beach_essentials,Beachfront,Bed_linens,Bedroom_comforts,Bidet,Bikes,Board_games,Boat_slip,Body_soap,Bread_maker,Breakfast,Building_staff,Cable_TV,Carbon_monoxide_alarm,Ceiling_fan,Changing_table,Children_books_and_toys,Children_dinnerware,Cleaning_before_checkout,Cleaning_products,Clothing_storage,Coffee_maker,Conditioner,Cooking_basics,Crib,Dedicated_workspace,Dining_table,Dishes_and_silverware,Dishwasher,Dryer,Drying_rack_for_clothing,EV_charger,Elevator,Essentials,Ethernet_connection,Extra_pillows_and_blankets,Fire_extinguisher,Fire_pit,Fireplace_guards,First_aid_kit,Free_parking_on_premises,Free_street_parking,Freezer,Full_kitchen,Game_console,Gym,Hair_dryer,Hangers,Heating,High_chair,Host_greets_you,Hot_tub,Hot_water,Hot_water_kettle,Indoor_fireplace,Iron,Kayak,Keurig_coffee_machine,Keypad,Kitchen,Kitchenette,Lake_access,Laundromat_nearby,Lock_on_bedroom_door,Lockbox,Long_term_stays_allowed,Luggage_dropoff_allowed,Microwave,Mini_fridge,Mosquito_net,Nespresso_machine,Outdoor_dining_area,Outdoor_furniture,Outdoor_shower,Outlet_covers,Oven,ChildrenTravel_crib,Paid_parking_off_premises,Paid_parking_on_premises,Patio_or_balcony,Pets_allowed,Piano,Ping_pong_table,Pocket_wifi,Pool,Pool_cover,Pool_table,Pool_toys,Portable_fans,Pour-over_coffee,Private_entrance,Private_hot_tub,Record_player,Refrigerator,Rice_maker,Room-darkening_shades,Safe,Sauna,Self_check-in,Shampoo,Shower_gel,Single_level_home,Ski-in/Ski-out,Smart_lock,Smoke_alarm,Smoking_allowed,Sound_system,Stove,Suitable_for_events,TV,Table_corner_guards,Toaster,Trash_compactor,Washer,Waterfront,Wifi,Window_guards,Wine_glasses,address_Austin__Texas,address_Bella_Vista,address_Bentonville,address_Fayetteville,address_Hot_Springs,address_Rogers,address_Springdale,listingType_entire_home,listingType_hotel_room,listingType_private_room,listingType_shared_room
21126,235.0,5.0,144,1,1,365,4,1.0,2.0,1.0,30.244,-97.74,True,False,True,True,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
42422,343.0,5.0,45,1,2,1125,6,3.0,3.0,3.0,34.483,-93.146,True,False,True,True,False,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
79603,199.0,5.0,122,1,2,15,2,1.0,2.0,1.0,30.24948,-97.75896,True,False,True,False,False,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
158398,799.0,5.0,16,0,4,30,7,3.0,4.0,3.0,30.25288,-97.78491,True,False,True,False,False,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
174828,375.0,5.0,344,1,2,365,10,2.0,5.0,2.0,30.33238,-97.71233,True,False,True,True,False,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
227372,638.0,5.0,229,0,1,32,10,2.5,4.0,2.5,30.24822,-97.75095,True,False,False,True,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
319759,650.0,5.0,261,1,1,365,16,3.5,9.0,3.5,30.266,-97.733,False,True,False,False,False,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
347654,525.0,5.0,61,1,1,30,7,2.5,3.0,2.5,30.23661,-97.7449,True,False,True,False,False,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
353261,605.0,5.0,187,0,3,1125,10,3.5,5.0,3.5,30.24276,-97.75211,True,False,True,True,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
356837,499.0,5.0,32,1,30,1125,5,2.5,5.0,2.5,30.28184,-97.74276,True,False,True,True,False,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
